Name,DK 2025_09_10 17_05_56_DK_E1s.csv
Date,2025/09/10 17:06:54
Tag,DARK
Comment,
Peak raman shift[cm-1],83.1533854097288
Integration[ms],1000
Averaging,1
Measure data Count,1
Source wave length,785
Calibrate value 0,788.3763138
Calibrate value 1,0.178372696
Calibrate value 2,-2.251874586E-05
Calibrate value 3,-1.73193709E-09
Calibrate value 4,4.815502996E-13
Calibrate value 5,-1.854087204E-17
Sensor pixel num,2048
Count monitor raman shift,0
Count monitor value,0
Dark name,
Ramanshift[cm-1],1
925.792622152176,4350
928.059317048375,4386
930.324473895233,4511
932.588093870558,4598
934.850178150966,4959
937.110727911862,4232
939.369744327454,4160
941.62722857074,4439
943.883181813542,4297
946.137605226457,4786
948.390499978908,4467
950.641867239117,4336
952.891708174115,4391
955.14002394974,4499
957.386815730641,4241
959.632084680283,4315
961.875831960941,4209
964.118058733709,4254
966.358766158499,4169
968.597955394031,4556
970.835627597859,4437
973.071783926347,4408
975.306425534689,4393
977.539553576895,4488
979.771169205813,4322
982.001273573116,4358
984.229867829288,4325
986.456953123665,4314
988.682530604407,4342
990.906601418506,4256
993.129166711788,4241
995.350227628916,4469
997.569785313392,4361
999.787840907557,4257
1002.00439555259,4251
1004.21945038851,4185
1006.4330065542,4424
1008.64506518735,4291
1010.85562742452,4355
1013.06469440113,4394
1015.27226725142,4227
1017.4783471085,4388
1019.68293510433,4519
1021.88603236971,4554
1024.08764003432,4455
1026.28775922667,4167
1028.48639107415,4297
1030.68353670299,4368
1032.8791972383,4314
1035.07337380403,4333
1037.26606752301,4333
1039.45727951694,4523
1041.64701090637,4237
1043.83526281073,4158
1046.0220363483,4536
1048.20733263626,4278
1050.39115279065,4261
1052.57349792636,4314
1054.7543691572,4503
1056.93376759582,4397
1059.11169435376,4353
1061.28815054144,4350
1063.46313726816,4258
1065.63665564211,4419
1067.80870677034,4267
1069.97929175881,4437
1072.14841171235,4329
1074.31606773468,4478
1076.48226092843,4367
1078.64699239509,4288
1080.81026323505,4314
1082.97207454761,4492
1085.13242743095,4268
1087.29132298214,4466
1089.44876229716,4394
1091.60474647088,4287
1093.75927659708,4392
1095.91235376843,4306
1098.06397907651,4154
1100.21415361181,4319
1102.3628784637,4460
1104.51015472049,4336
1106.65598346937,4366
1108.80036579647,4545
1110.9433027868,4358
1113.08479552429,4222
1115.2248450918,4194
1117.36345257109,4348
1119.50061904284,4268
1121.63634558665,4364
1123.77063328104,4423
1125.90348320344,4326
1128.03489643021,4237
1130.16487403663,4463
1132.29341709692,4323
1134.4205266842,4577
1136.54620387053,4309
1138.6704497269,4379
1140.79326532322,4129
1142.91465172836,4207
1145.03461001007,4252
1147.1531412351,4507
1149.27024646907,4339
1151.38592677657,4275
1153.50018322114,4426
1155.61301686523,4534
1157.72442877025,4440
1159.83441999654,4472
1161.94299160338,4412
1164.05014464901,4532
1166.15588019062,4553
1168.26019928431,4508
1170.36310298516,4827
1172.4645923472,4474
1174.56466842339,4239
1176.66333226567,4547
1178.76058492491,4474
1180.85642745094,4413
1182.95086089255,4329
1185.04388629748,4380
1187.13550471245,4705
1189.22571718311,4347
1191.31452475409,4384
1193.40192846898,4232
1195.48792937032,4464
1197.57252849964,4349
1199.65572689742,4422
1201.7375256031,4345
1203.81792565511,4177
1205.89692809083,4336
1207.97453394663,4354
1210.05074425783,4320
1212.12556005874,4557
1214.19898238265,4425
1216.27101226181,4608
1218.34165072746,4380
1220.41089880981,4293
1222.47875753805,4298
1224.54522794037,4266
1226.61031104392,4205
1228.67400787484,4319
1230.73631945826,4422
1232.7972468183,4351
1234.85679097805,4402
1236.91495295962,4399
1238.97173378407,4533
1241.02713447148,4533
1243.08115604092,4386
1245.13379951044,4272
1247.1850658971,4242
1249.23495621695,4359
1251.28347148504,4370
1253.3306127154,4481
1255.3763809211,4223
1257.42077711418,4237
1259.46380230568,4554
1261.50545750567,4408
1263.54574372319,4458
1265.58466196632,4455
1267.62221324214,4646
1269.6583985567,4310
1271.69321891513,4504
1273.7266753215,4425
1275.75876877894,4501
1277.78950028958,4352
1279.81887085455,4258
1281.84688147402,4129
1283.87353314717,4418
1285.89882687217,4267
1287.92276364625,4303
1289.94534446564,4146
1291.9665703256,4218
1293.9864422204,4380
1296.00496114336,4382
1298.02212808678,4507
1300.03794404204,4573
1302.05240999952,4618
1304.06552694861,4735
1306.07729587778,4388
1308.08771777449,4773
1310.09679362525,4384
1312.10452441559,4359
