X-Axis	NPA w/ oil 20x (CRR) (SG) (Sub BG)
 7.19102E+02	 1.62178E+01
 7.23034E+02	 7.81953E+01
 7.26965E+02	 7.24233E+01
 7.30892E+02	 1.03281E+01
 7.34817E+02	-4.34800E+01
 7.38739E+02	-6.69595E+01
 7.42658E+02	-3.44556E+01
 7.46575E+02	 3.34282E+01
 7.50489E+02	 7.47915E+01
 7.54400E+02	 4.55518E+01
 7.58309E+02	-9.04150E+00
 7.62215E+02	-5.64082E+01
 7.66119E+02	-9.19482E+01
 7.70019E+02	-6.46260E+01
 7.73918E+02	 5.12695E+00
 7.77813E+02	 7.56333E+01
 7.81706E+02	 1.12964E+02
 7.85596E+02	 1.06005E+02
 7.89484E+02	 6.60791E+01
 7.93369E+02	-1.50806E+01
 7.97251E+02	-8.93364E+01
 8.01131E+02	-1.03713E+02
 8.05008E+02	-4.83208E+01
 8.08883E+02	 4.04780E+01
 8.12755E+02	 1.40245E+02
 8.16624E+02	 2.05552E+02
 8.20491E+02	 2.14768E+02
 8.24355E+02	 2.24621E+02
 8.28217E+02	 2.39733E+02
 8.32075E+02	 2.50507E+02
 8.35932E+02	 2.60251E+02
 8.39785E+02	 2.80563E+02
 8.43637E+02	 2.78169E+02
 8.47485E+02	 2.02050E+02
 8.51331E+02	 1.07768E+02
 8.55174E+02	 3.26919E+01
 8.59015E+02	 1.43989E+01
 8.62853E+02	 4.97246E+01
 8.66689E+02	 1.36453E+02
 8.70522E+02	 1.68933E+02
 8.74352E+02	 9.80000E+01
 8.78180E+02	-1.42192E+01
 8.82006E+02	-9.73945E+01
 8.85828E+02	-7.25220E+01
 8.89648E+02	 2.78115E+01
 8.93466E+02	 9.78711E+01
 8.97281E+02	 1.06804E+02
 9.01094E+02	 1.60405E+01
 9.04904E+02	-6.47813E+01
 9.08711E+02	-8.57368E+01
 9.12516E+02	-4.15488E+01
 9.16318E+02	 3.30303E+01
 9.20118E+02	 4.50483E+01
 9.23915E+02	 1.31748E+01
 9.27710E+02	-7.07861E+00
 9.31502E+02	 1.29707E+01
 9.35292E+02	 2.98896E+01
 9.39079E+02	 3.79663E+01
 9.42863E+02	 5.41533E+01
 9.46645E+02	 3.84409E+01
 9.50425E+02	-2.92871E+00
