X-Axis	NPA w/ HMB-1 20x E30 (CRR) (Average 3) (Sub BG)
 8.12755E+02	 8.60375E+02
 8.16624E+02	 9.66277E+02
 8.20491E+02	 1.41580E+03
 8.24355E+02	 1.75938E+03
 8.28217E+02	 1.78418E+03
 8.32075E+02	 2.03818E+03
 8.35932E+02	 2.14691E+03
 8.39785E+02	 2.30919E+03
 8.43637E+02	 3.08324E+03
 8.47485E+02	 3.29743E+03
 8.51331E+02	 2.28929E+03
 8.55174E+02	 6.95391E+02
 8.59015E+02	-2.92254E+02
 8.62853E+02	-7.36328E+01
 8.66689E+02	 4.16406E+01
 8.70522E+02	-5.92371E+02
 8.74352E+02	-8.54758E+02
 8.78180E+02	-6.52301E+02
 8.82006E+02	-6.66250E+02
 8.85828E+02	-3.92082E+02
 8.89648E+02	 3.21695E+02
 8.93466E+02	 9.63609E+02
 8.97281E+02	 1.13217E+03
 9.01094E+02	 4.36137E+02
 9.04904E+02	-3.52227E+02
 9.08711E+02	-4.32883E+02
 9.12516E+02	 2.67172E+02
 9.16318E+02	 1.25847E+03
 9.20118E+02	 1.11302E+03
 9.23915E+02	 1.08629E+02
 9.27710E+02	-3.34941E+02
 9.31502E+02	-1.63148E+02
 9.35292E+02	-3.72148E+01
 9.39079E+02	-3.70820E+01
 9.42863E+02	 2.52031E+02
 9.46645E+02	 4.16684E+02
 9.50425E+02	-1.09570E+02
 9.54202E+02	-1.03117E+03
 9.57976E+02	-1.48279E+03
 9.61748E+02	-7.64848E+02
 9.65517E+02	 6.02480E+02
 9.69284E+02	 1.42030E+03
 9.73049E+02	 1.13723E+03
 9.76811E+02	 3.36129E+02
 9.80570E+02	 2.66906E+02
 9.84327E+02	 9.57980E+02
 9.88081E+02	 1.57353E+03
 9.91833E+02	 2.49554E+03
 9.95583E+02	 3.55377E+03
 9.99329E+02	 3.51804E+03
 1.00307E+03	 2.65899E+03
 1.00682E+03	 2.14135E+03
 1.01056E+03	 2.05920E+03
 1.01429E+03	 1.59680E+03
 1.01803E+03	 8.37426E+02
 1.02176E+03	 6.20445E+02
 1.02549E+03	 7.71340E+02
 1.02922E+03	 4.25633E+02
 1.03294E+03	-4.96105E+02
 1.03666E+03	-1.08550E+03
 1.04038E+03	-7.62926E+02
 1.04410E+03	 1.03785E+02
 1.04781E+03	 8.98363E+02
 1.05153E+03	 1.11721E+03
 1.05524E+03	 5.50316E+02
 1.05894E+03	 1.59922E+01
 1.06265E+03	-1.36719E-01
 1.06635E+03	-3.31133E+01
 1.07005E+03	-5.20469E+02
 1.07375E+03	-7.88250E+02
 1.07744E+03	-1.80297E+02
 1.08114E+03	 2.91770E+02
 1.08483E+03	 1.52234E+02
 1.08851E+03	 3.15910E+02
 1.09220E+03	 3.62266E+02
 1.09588E+03	-1.65508E+02
 1.09956E+03	-3.43973E+02
 1.10324E+03	-2.67785E+02
 1.10692E+03	-5.02332E+02
 1.11059E+03	-4.84117E+02
 1.11426E+03	-4.88398E+01
 1.11793E+03	 3.47383E+01
 1.12159E+03	-2.98246E+02
 1.12526E+03	-6.62570E+02
 1.12892E+03	-9.03523E+02
 1.13258E+03	-7.99387E+02
 1.13623E+03	-3.30160E+02
 1.13989E+03	 2.06145E+02
 1.14354E+03	 5.68277E+02
 1.14719E+03	 8.16742E+02
 1.15084E+03	 9.13277E+02
 1.15448E+03	 6.13395E+02
 1.15812E+03	 2.54336E+02
 1.16176E+03	-9.26367E+01
 1.16540E+03	-8.88523E+02
 1.16903E+03	-1.23557E+03
 1.17267E+03	-1.81516E+02
 1.17630E+03	 1.58965E+03
 1.17992E+03	 2.52668E+03
 1.18355E+03	 1.83984E+03
 1.18717E+03	 7.51148E+02
 1.19079E+03	 5.71867E+02
 1.19441E+03	 6.20758E+02
 1.19803E+03	-4.11523E+01
 1.20164E+03	-7.28598E+02
 1.20525E+03	-7.71551E+02
 1.20886E+03	-6.14238E+02
 1.21246E+03	-4.19137E+02
 1.21607E+03	 2.62930E+01
 1.21967E+03	 4.58320E+01
 1.22327E+03	-2.93730E+02
 1.22687E+03	-1.75852E+02
 1.23046E+03	 1.01266E+02
 1.23405E+03	 3.72914E+02
 1.23764E+03	 2.54160E+02
 1.24123E+03	-5.74375E+01
 1.24482E+03	 3.29695E+02
 1.24840E+03	 8.78633E+02
 1.25198E+03	 1.07496E+03
 1.25556E+03	 1.22029E+03
 1.25913E+03	 1.12296E+03
 1.26271E+03	 4.12863E+02
 1.26628E+03	-2.34109E+02
 1.26985E+03	 4.74609E+01
 1.27341E+03	 8.16008E+02
 1.27698E+03	 8.48266E+02
 1.28054E+03	 3.55250E+02
 1.28410E+03	 6.03527E+02
 1.28766E+03	 1.29148E+03
 1.29121E+03	 1.35608E+03
 1.29476E+03	 7.53176E+02
 1.29831E+03	 1.92535E+02
 1.30186E+03	-7.25938E+01
 1.30541E+03	-1.73070E+02
 1.30895E+03	 1.65320E+02
 1.31249E+03	 4.99613E+02
 1.31603E+03	 2.99629E+02
 1.31957E+03	 1.26992E+01
 1.32310E+03	-3.70742E+01
 1.32663E+03	 3.70746E+02
 1.33016E+03	 6.42758E+02
 1.33369E+03	 1.19668E+02
 1.33722E+03	-5.06031E+02
 1.34074E+03	-9.22906E+02
 1.34426E+03	-9.16039E+02
 1.34778E+03	-3.58781E+02
 1.35129E+03	 1.40953E+02
 1.35481E+03	 4.51730E+02
 1.35832E+03	 7.65738E+02
 1.36183E+03	 5.04188E+02
 1.36534E+03	 3.75043E+02
 1.36884E+03	 9.21641E+02
 1.37234E+03	 7.02996E+02
 1.37584E+03	 7.48711E+01
 1.37934E+03	 1.25391E+02
 1.38284E+03	-3.12148E+01
 1.38633E+03	-5.16676E+02
 1.38982E+03	-1.81285E+02
 1.39331E+03	 2.71742E+02
 1.39680E+03	-1.78113E+02
 1.40028E+03	-5.22336E+02
 1.40376E+03	-2.60848E+02
 1.40724E+03	-1.44527E+02
 1.41072E+03	-2.53941E+02
 1.41420E+03	-2.28984E+02
 1.41767E+03	-1.18680E+02
 1.42114E+03	-4.87656E+01
 1.42461E+03	 1.24012E+02
 1.42808E+03	 3.92426E+02
 1.43154E+03	 4.03984E+02
 1.43500E+03	 8.52031E+01
 1.43846E+03	 5.95938E+01
 1.44192E+03	 2.74934E+02
 1.44537E+03	-1.21012E+02
 1.44883E+03	-5.75715E+02
 1.45228E+03	-1.43906E+02
 1.45573E+03	 3.66641E+02
 1.45917E+03	 3.69195E+02
 1.46262E+03	 3.92051E+02
 1.46606E+03	 4.34984E+02
 1.46950E+03	 3.32273E+02
 1.47294E+03	 1.26961E+02
 1.47637E+03	-3.40047E+02
 1.47981E+03	-9.90066E+02
 1.48324E+03	-1.14815E+03
 1.48667E+03	-4.22836E+02
 1.49009E+03	 4.15875E+02
 1.49352E+03	 4.60516E+02
 1.49694E+03	 2.90359E+02
 1.50036E+03	 2.58160E+02
 1.50378E+03	-2.33293E+02
 1.50720E+03	-4.68734E+02
 1.51061E+03	-1.99629E+02
 1.51402E+03	-7.61992E+01
 1.51743E+03	 1.72840E+02
 1.52084E+03	 7.40277E+02
 1.52424E+03	 1.25366E+03
 1.52764E+03	 1.20427E+03
 1.53105E+03	 1.18843E+03
 1.53444E+03	 1.71292E+03
 1.53784E+03	 1.85007E+03
 1.54123E+03	 1.49920E+03
 1.54463E+03	 1.47764E+03
 1.54802E+03	 2.04047E+03
 1.55140E+03	 2.58754E+03
 1.55479E+03	 2.56621E+03
 1.55817E+03	 2.29637E+03
 1.56155E+03	 2.27890E+03
 1.56493E+03	 2.46297E+03
 1.56831E+03	 2.38852E+03
 1.57168E+03	 2.24302E+03
 1.57506E+03	 2.55751E+03
 1.57843E+03	 2.61729E+03
 1.58180E+03	 2.12773E+03
 1.58516E+03	 1.98634E+03
 1.58853E+03	 2.18643E+03
 1.59189E+03	 2.47729E+03
 1.59525E+03	 2.90741E+03
 1.59861E+03	 3.02119E+03
 1.60196E+03	 2.42933E+03
 1.60531E+03	 1.84412E+03
 1.60867E+03	 1.43960E+03
 1.61202E+03	 5.77367E+02
 1.61536E+03	-1.20813E+02
 1.61871E+03	-1.24148E+02
 1.62205E+03	 4.26133E+01
 1.62539E+03	 1.62688E+02
 1.62873E+03	 2.10902E+02
 1.63207E+03	 1.80625E+01
 1.63540E+03	-2.17430E+02
 1.63873E+03	-1.77836E+02
 1.64206E+03	 2.59664E+02
 1.64539E+03	 4.24039E+02
 1.64872E+03	-2.02734E+01
 1.65204E+03	-5.00426E+02
 1.65536E+03	 1.80859E+01
 1.65868E+03	 6.13910E+02
 1.66200E+03	 2.80574E+02
 1.66532E+03	-3.44570E+02
 1.66863E+03	-3.73184E+02
 1.67194E+03	 4.64297E+01
 1.67525E+03	 2.92379E+02
 1.67856E+03	 1.55137E+02
 1.68186E+03	 3.06484E+01
 1.68516E+03	-1.31777E+02
 1.68847E+03	-1.98965E+02
 1.69176E+03	-1.85961E+02
 1.69506E+03	-3.47348E+02
 1.69836E+03	-1.25355E+02
 1.70165E+03	 5.02559E+02
 1.70494E+03	 4.51102E+02
 1.70823E+03	-1.96137E+02
 1.71151E+03	-5.62258E+02
 1.71480E+03	-2.04867E+02
 1.71808E+03	 4.28426E+02
 1.72136E+03	 5.09688E+02
 1.72464E+03	 3.05117E+01
 1.72792E+03	-3.45922E+02
 1.73119E+03	-5.90781E+01
 1.73446E+03	 3.60684E+02
 1.73773E+03	 1.60207E+02
 1.74100E+03	-1.59699E+02
 1.74427E+03	-7.65625E-01
 1.74753E+03	 1.91512E+02
 1.75079E+03	 5.77109E+01
 1.75405E+03	-9.91836E+01
 1.75731E+03	 1.05914E+02
 1.76057E+03	 3.81270E+02
 1.76382E+03	 2.36395E+02
 1.76707E+03	-5.28359E+01
 1.77032E+03	-3.85859E+01
 1.77357E+03	 7.81250E+00
 1.77681E+03	-9.01445E+01
 1.78006E+03	-3.41328E+01
 1.78330E+03	 9.14395E+01
 1.78654E+03	 4.46992E+01
 1.78978E+03	-1.48164E+01
 1.79301E+03	 1.96309E+01
 1.79625E+03	 5.09004E+01
 1.79948E+03	 3.08242E+01
 1.80271E+03	-1.53354E+02
 1.80593E+03	-1.92662E+02
 1.80916E+03	 1.36457E+02
 1.81238E+03	 3.20971E+02
 1.81560E+03	 2.53373E+02
 1.81882E+03	 1.97170E+02
 1.82204E+03	 2.76990E+02
 1.82526E+03	-5.59961E+00
 1.82847E+03	-7.82748E+02
 1.83168E+03	-9.99967E+02
 1.83489E+03	-2.05902E+02
 1.83810E+03	 6.49648E+02
 1.84130E+03	 7.87156E+02
 1.84451E+03	 3.84391E+02
 1.84771E+03	 7.06641E+01
 1.85091E+03	-3.06348E+01
 1.85411E+03	-1.29281E+02
 1.85730E+03	-1.12934E+02
 1.86049E+03	 1.20424E+02
 1.86369E+03	 4.84549E+02
 1.86688E+03	 7.01176E+02
 1.87006E+03	 4.09945E+02
 1.87325E+03	-1.09160E+02
 1.87643E+03	-1.48367E+02
 1.87961E+03	 4.96445E+01
 1.88279E+03	-1.58262E+02
 1.88597E+03	-3.71064E+02
 1.88915E+03	-5.22285E+01
 1.89232E+03	 3.96404E+02
 1.89549E+03	 3.74713E+02
 1.89866E+03	 7.10117E+01
 1.90183E+03	-1.74395E+01
 1.90500E+03	-5.62441E+01
 1.90816E+03	-1.31588E+02
 1.91132E+03	 5.36719E+01
 1.91448E+03	 3.46904E+02
 1.91764E+03	 3.12428E+02
 1.92080E+03	-7.87402E+01
 1.92395E+03	-4.07287E+02
 1.92710E+03	-2.50436E+02
 1.93025E+03	 9.79141E+01
 1.93340E+03	 1.25020E+02
 1.93655E+03	 4.46426E+01
 1.93969E+03	 1.16162E+02
 1.94284E+03	 1.91557E+02
 1.94598E+03	 1.38850E+02
 1.94912E+03	-9.47305E+01
 1.95225E+03	-2.89791E+02
 1.95539E+03	-2.06039E+02
 1.95852E+03	-5.98809E+01
 1.96165E+03	-7.28711E+01
 1.96478E+03	 1.30111E+02
 1.96791E+03	 4.60885E+02
 1.97103E+03	 3.00217E+02
 1.97416E+03	-3.90098E+01
 1.97728E+03	 1.39434E+01
 1.98040E+03	 1.43045E+02
 1.98352E+03	-1.10547E+00
 1.98663E+03	-1.34000E+02
 1.98975E+03	 1.46123E+02
 1.99286E+03	 4.41643E+02
 1.99597E+03	 1.71037E+02
 1.99908E+03	-3.94170E+02
 2.00218E+03	-5.12656E+02
 2.00529E+03	-2.21367E+01
 2.00839E+03	 5.21758E+02
 2.01149E+03	 4.41801E+02
 2.01459E+03	-5.23516E+01
 2.01769E+03	-1.95604E+02
 2.02078E+03	 3.13281E+01
 2.02387E+03	 1.95855E+02
 2.02696E+03	 1.60424E+02
 2.03005E+03	-1.41428E+02
