X-Axis	NPA w/ HMB-1 pos2 E30 (CRR) (SG) (Sub BG)
 1.21967E+03	 2.08949E+02
 1.22327E+03	 4.38344E+02
 1.22687E+03	 4.75230E+02
 1.23046E+03	 4.01652E+02
 1.23405E+03	 3.13840E+02
 1.23764E+03	 3.08047E+01
 1.24123E+03	-1.11797E+01
 1.24482E+03	 3.12695E+02
 1.24840E+03	 7.18191E+02
 1.25198E+03	 7.49258E+02
 1.25556E+03	 5.86520E+02
 1.25913E+03	 3.84207E+02
 1.26271E+03	 3.27109E+01
 1.26628E+03	-1.46797E+01
 1.26985E+03	 2.84137E+02
 1.27341E+03	 5.43719E+02
 1.27698E+03	 4.86797E+02
 1.28054E+03	 1.43594E+02
 1.28410E+03	 1.07184E+02
 1.28766E+03	 1.24863E+02
 1.29121E+03	-8.27305E+01
 1.29476E+03	-1.29242E+02
 1.29831E+03	-1.09254E+02
 1.30186E+03	-1.80059E+02
 1.30541E+03	-2.82520E+02
 1.30895E+03	-9.20469E+01
 1.31249E+03	 1.05941E+02
 1.31603E+03	 8.15313E+01
 1.31957E+03	 1.70969E+02
 1.32310E+03	 3.29945E+02
 1.32663E+03	 3.02113E+02
 1.33016E+03	 9.10469E+01
 1.33369E+03	-8.05977E+01
 1.33722E+03	-3.97590E+02
 1.34074E+03	-6.78773E+02
 1.34426E+03	-4.07930E+02
 1.34778E+03	 1.91926E+02
 1.35129E+03	 8.91520E+02
 1.35481E+03	 1.34607E+03
 1.35832E+03	 1.32109E+03
 1.36183E+03	 1.10680E+03
 1.36534E+03	 8.78445E+02
 1.36884E+03	 8.30488E+02
 1.37234E+03	 5.20211E+02
 1.37584E+03	 3.66508E+02
 1.37934E+03	 2.46172E+02
 1.38284E+03	 2.06199E+02
 1.38633E+03	 2.96277E+02
 1.38982E+03	 1.24371E+02
 1.39331E+03	-2.20555E+02
 1.39680E+03	-3.26004E+02
 1.40028E+03	-3.89578E+02
 1.40376E+03	-2.58559E+02
 1.40724E+03	-1.20383E+02
 1.41072E+03	-9.99609E+00
 1.41420E+03	 1.63867E+01
 1.41767E+03	-5.16641E+01
 1.42114E+03	 5.31758E+01
 1.42461E+03	-2.96250E+01
 1.42808E+03	-2.30949E+02
 1.43154E+03	 5.54688E-01
 1.43500E+03	 4.83246E+02
 1.43846E+03	 7.97922E+02
 1.44192E+03	 7.83129E+02
 1.44537E+03	 3.52813E+02
 1.44883E+03	-2.30508E+01
 1.45228E+03	-7.31211E+01
 1.45573E+03	 2.91215E+02
 1.45917E+03	 8.10086E+02
 1.46262E+03	 9.46625E+02
 1.46606E+03	 4.65090E+02
 1.46950E+03	-2.20547E+01
 1.47294E+03	-3.33641E+02
 1.47637E+03	-4.99355E+02
 1.47981E+03	-6.37609E+02
 1.48324E+03	-5.56543E+02
 1.48667E+03	 3.24883E+01
 1.49009E+03	 6.06684E+02
 1.49352E+03	 1.13616E+03
 1.49694E+03	 1.41080E+03
 1.50036E+03	 1.31006E+03
 1.50378E+03	 1.15102E+03
 1.50720E+03	 1.09189E+03
 1.51061E+03	 9.76922E+02
 1.51402E+03	 5.36004E+02
 1.51743E+03	 3.30367E+02
 1.52084E+03	 4.23527E+02
 1.52424E+03	 4.17633E+02
 1.52764E+03	 5.61918E+02
 1.53105E+03	 7.45344E+02
 1.53444E+03	 1.00314E+03
 1.53784E+03	 1.49043E+03
 1.54123E+03	 2.12879E+03
 1.54463E+03	 2.69979E+03
 1.54802E+03	 2.98502E+03
 1.55140E+03	 3.03385E+03
 1.55479E+03	 2.97887E+03
 1.55817E+03	 2.65183E+03
 1.56155E+03	 2.17670E+03
 1.56493E+03	 1.40072E+03
 1.56831E+03	 6.75746E+02
 1.57168E+03	 3.50656E+02
 1.57506E+03	 2.46727E+02
 1.57843E+03	 3.33988E+02
 1.58180E+03	 6.64203E+02
 1.58516E+03	 9.55867E+02
 1.58853E+03	 1.30431E+03
 1.59189E+03	 1.48570E+03
 1.59525E+03	 1.56822E+03
 1.59861E+03	 1.36621E+03
 1.60196E+03	 9.92234E+02
 1.60531E+03	 5.22117E+02
 1.60867E+03	 1.82695E+01
 1.61202E+03	-1.06410E+02
 1.61536E+03	 3.85586E+01
 1.61871E+03	 1.44574E+02
 1.62205E+03	 1.13578E+02
 1.62539E+03	 6.73320E+01
 1.62873E+03	 1.19574E+02
 1.63207E+03	 1.39605E+02
 1.63540E+03	 2.05199E+02
 1.63873E+03	 2.61121E+02
 1.64206E+03	 1.62805E+02
 1.64539E+03	-5.45820E+01
 1.64872E+03	-3.04719E+02
 1.65204E+03	-1.62203E+02
 1.65536E+03	 5.97305E+01
 1.65868E+03	 1.26971E+02
 1.66200E+03	 8.89766E+01
 1.66532E+03	-9.89570E+01
 1.66863E+03	-3.27387E+02
 1.67194E+03	-3.41816E+02
 1.67525E+03	-5.25215E+01
 1.67856E+03	 2.66705E+02
 1.68186E+03	 2.78785E+02
 1.68516E+03	 1.85652E+02
 1.68847E+03	-1.49705E+02
 1.69176E+03	-3.69346E+02
 1.69506E+03	-3.55475E+02
 1.69836E+03	-2.19453E+01
 1.70165E+03	 1.93264E+02
 1.70494E+03	 2.12744E+02
 1.70823E+03	 9.56699E+01
 1.71151E+03	-6.41934E+01
 1.71480E+03	-2.31264E+02
 1.71808E+03	-7.65996E+01
 1.72136E+03	-2.88672E+00
 1.72464E+03	 1.02162E+02
 1.72792E+03	 6.13477E+01
 1.73119E+03	 6.67441E+01
 1.73446E+03	 1.69162E+02
 1.73773E+03	 2.78629E+02
 1.74100E+03	 1.29385E+02
 1.74427E+03	-3.23242E+00
 1.74753E+03	-2.33414E+02
 1.75079E+03	-2.47246E+02
 1.75405E+03	-2.69234E+02
 1.75731E+03	 1.94023E+01
 1.76057E+03	 2.87145E+02
 1.76382E+03	 6.19414E+02
 1.76707E+03	 7.50498E+02
 1.77032E+03	 4.89303E+02
 1.77357E+03	 7.09531E+01
 1.77681E+03	-1.67916E+02
 1.78006E+03	-1.72658E+02
 1.78330E+03	 6.80723E+01
 1.78654E+03	 8.33203E+00
 1.78978E+03	-1.88301E+01
 1.79301E+03	-1.44133E+02
 1.79625E+03	-1.48125E+02
 1.79948E+03	 4.96777E+01
 1.80271E+03	 1.39863E+02
 1.80593E+03	 1.40523E+02
 1.80916E+03	 9.04551E+01
 1.81238E+03	 5.18359E+00
 1.81560E+03	 9.82773E+01
 1.81882E+03	 1.06977E+02
 1.82204E+03	 4.84121E+01
 1.82526E+03	-2.74805E+01
 1.82847E+03	-1.75344E+02
 1.83168E+03	-1.77582E+02
 1.83489E+03	-8.78359E+01
 1.83810E+03	 2.55840E+01
 1.84130E+03	 1.99988E+02
 1.84451E+03	 2.52523E+02
 1.84771E+03	 2.08197E+02
 1.85091E+03	 7.39766E+01
 1.85411E+03	-1.11959E+02
 1.85730E+03	-1.48354E+02
 1.86049E+03	-4.50391E+01
 1.86369E+03	 2.37332E+02
 1.86688E+03	 3.94357E+02
 1.87006E+03	 3.02559E+02
 1.87325E+03	 2.03580E+02
 1.87643E+03	-1.26602E+01
 1.87961E+03	-6.28086E+01
 1.88279E+03	 1.27695E+01
 1.88597E+03	 1.03637E+02
 1.88915E+03	 2.22266E+00
 1.89232E+03	-1.66877E+02
 1.89549E+03	-4.01016E+01
 1.89866E+03	 9.37891E+01
 1.90183E+03	 7.72246E+01
 1.90500E+03	 3.50176E+01
 1.90816E+03	 6.69102E+01
 1.91132E+03	 1.50311E+02
 1.91448E+03	-9.15039E+00
 1.91764E+03	-1.33061E+02
 1.92080E+03	-1.46789E+02
 1.92395E+03	-1.73607E+02
 1.92710E+03	-7.45684E+01
 1.93025E+03	 1.13078E+02
 1.93340E+03	 2.59201E+02
 1.93655E+03	 3.02465E+02
 1.93969E+03	 3.55242E+02
 1.94284E+03	 4.25426E+02
 1.94598E+03	 2.94072E+02
 1.94912E+03	 1.02582E+02
 1.95225E+03	-1.23438E+01
 1.95539E+03	-1.01920E+02
 1.95852E+03	-1.66426E+02
 1.96165E+03	-8.06055E+01
 1.96478E+03	 4.72969E+01
 1.96791E+03	 2.05746E+02
 1.97103E+03	 3.39359E+02
 1.97416E+03	 4.33213E+02
 1.97728E+03	 2.97762E+02
 1.98040E+03	 6.98164E+01
 1.98352E+03	-9.82344E+01
 1.98663E+03	-8.27461E+01
 1.98975E+03	 3.47363E+01
 1.99286E+03	 2.24844E+01
 1.99597E+03	 1.64883E+01
 1.99908E+03	 1.14707E+01
 2.00218E+03	-3.76113E+01
 2.00529E+03	-1.63613E+01
 2.00839E+03	 9.57090E+01
 2.01149E+03	 2.49684E+02
 2.01459E+03	 1.63563E+02
 2.01769E+03	 1.26445E+01
 2.02078E+03	 1.03852E+02
 2.02387E+03	 1.01063E+02
 2.02696E+03	-9.25977E+00
 2.03005E+03	-1.26799E+02
 2.03314E+03	-1.65979E+02
 2.03623E+03	-1.43572E+02
 2.03931E+03	-6.59004E+01
 2.04239E+03	 1.42063E+02
 2.04547E+03	 1.74313E+02
 2.04855E+03	-2.69238E+01
 2.05163E+03	-5.39551E+01
 2.05470E+03	 2.11270E+01
 2.05777E+03	 6.46973E+01
 2.06084E+03	 9.50703E+01
 2.06391E+03	 4.44238E+01
 2.06698E+03	-1.17414E+02
 2.07004E+03	-2.45115E+02
 2.07310E+03	-1.46125E+02
 2.07617E+03	 1.21361E+02
 2.07923E+03	 3.71543E+02
 2.08228E+03	 4.27582E+02
 2.08534E+03	 2.88924E+02
 2.08839E+03	 1.29395E+01
 2.09144E+03	-1.64238E+02
 2.09449E+03	-1.56939E+02
 2.09754E+03	-2.34688E+01
 2.10059E+03	 8.58066E+01
 2.10363E+03	 1.21541E+02
 2.10667E+03	 8.26543E+01
 2.10972E+03	 1.33809E+02
 2.11275E+03	 1.40986E+02
 2.11579E+03	 1.72746E+02
 2.11883E+03	 1.68488E+02
 2.12186E+03	 8.16230E+01
 2.12489E+03	 2.25332E+01
 2.12792E+03	 8.66836E+01
 2.13095E+03	 1.23951E+02
 2.13397E+03	 1.16816E+02
 2.13700E+03	-8.26172E-01
 2.14002E+03	-1.52869E+02
 2.14304E+03	-2.05551E+02
 2.14606E+03	-2.03496E+01
 2.14908E+03	 2.45830E+02
 2.15209E+03	 3.32186E+02
 2.15511E+03	 2.64164E+02
 2.15812E+03	 1.32996E+02
 2.16113E+03	-3.30508E+01
 2.16413E+03	-3.41348E+01
 2.16714E+03	 1.24594E+02
 2.17014E+03	 9.77266E+01
 2.17315E+03	-2.73359E+01
 2.17615E+03	-1.24754E+02
 2.17915E+03	-1.13291E+02
 2.18214E+03	-7.81172E+01
 2.18514E+03	 6.72598E+01
 2.18813E+03	 2.71025E+02
 2.19112E+03	 2.27262E+02
 2.19411E+03	 5.65254E+01
 2.19710E+03	-4.37051E+01
 2.20009E+03	-9.29219E+01
 2.20307E+03	-1.14805E+01
 2.20605E+03	 1.71770E+02
 2.20903E+03	 3.45088E+02
 2.21201E+03	 2.52121E+02
 2.21499E+03	 1.08418E+01
 2.21796E+03	-1.43379E+02
 2.22094E+03	-1.57828E+02
 2.22391E+03	-4.85898E+01
 2.22688E+03	 1.00064E+02
 2.22985E+03	 2.05039E+02
 2.23281E+03	 1.77760E+02
 2.23578E+03	 7.88613E+01
 2.23874E+03	 1.66684E+02
