X-Axis	NPA w/ HMB-1 (CRR) (SG) (Sub BG)
 7.93369E+02	 2.54263E+01
 7.97251E+02	 1.71543E+01
 8.01131E+02	 2.04097E+01
 8.05008E+02	 2.12876E+01
 8.08883E+02	 2.64941E+01
 8.12755E+02	 3.11631E+01
 8.16624E+02	 3.04790E+01
 8.20491E+02	 3.83408E+01
 8.24355E+02	 5.17075E+01
 8.28217E+02	 6.95396E+01
 8.32075E+02	 7.48740E+01
 8.35932E+02	 6.28779E+01
 8.39785E+02	 6.23037E+01
 8.43637E+02	 5.42456E+01
 8.47485E+02	 3.43433E+01
 8.51331E+02	 1.81157E+01
 8.55174E+02	-5.17920E+00
 8.59015E+02	-2.18975E+01
 8.62853E+02	-1.69155E+01
 8.66689E+02	 2.49951E+00
 8.70522E+02	 1.81152E+01
 8.74352E+02	 3.56543E+00
 8.78180E+02	-1.36694E+01
 8.82006E+02	-2.69971E+01
 8.85828E+02	-1.92158E+01
 8.89648E+02	 7.81787E+00
 8.93466E+02	 3.18799E+01
 8.97281E+02	 3.37773E+01
 9.01094E+02	 1.87988E+01
 9.04904E+02	 4.87988E+00
 9.08711E+02	-7.31201E+00
 9.12516E+02	-4.02197E+00
 9.16318E+02	 8.09570E+00
 9.20118E+02	 5.60596E+00
 9.23915E+02	-1.48447E+01
 9.27710E+02	-2.80610E+01
 9.31502E+02	-2.15479E+01
 9.35292E+02	-1.64971E+01
 9.39079E+02	-1.20117E+00
 9.42863E+02	 1.83398E+01
 9.46645E+02	 9.20020E+00
 9.50425E+02	-1.66699E+01
 9.54202E+02	-3.35894E+01
 9.57976E+02	-1.82627E+01
 9.61748E+02	 6.12305E+00
 9.65517E+02	 3.29927E+01
 9.69284E+02	 3.93438E+01
 9.73049E+02	 3.12744E+00
 9.76811E+02	-1.78931E+01
 9.80570E+02	-7.40479E+00
 9.84327E+02	 2.07627E+01
 9.88081E+02	 4.88755E+01
 9.91833E+02	 6.42583E+01
 9.95583E+02	 7.22754E+01
 9.99329E+02	 6.82178E+01
 1.00307E+03	 6.62656E+01
 1.00682E+03	 6.33257E+01
 1.01056E+03	 3.41006E+01
 1.01429E+03	 3.21338E+00
 1.01803E+03	 2.63525E+00
 1.02176E+03	 2.02759E+01
 1.02549E+03	 3.02544E+01
 1.02922E+03	 1.87959E+01
 1.03294E+03	-5.07080E+00
 1.03666E+03	-2.58384E+01
 1.04038E+03	-2.83838E+01
 1.04410E+03	-2.48486E+00
 1.04781E+03	 2.98438E+01
 1.05153E+03	 3.84790E+01
 1.05524E+03	 2.39238E+01
 1.05894E+03	-1.98486E+00
 1.06265E+03	-8.17920E+00
 1.06635E+03	-1.98745E+01
 1.07005E+03	-9.84863E+00
 1.07375E+03	 3.86475E+00
 1.07744E+03	 1.55674E+01
 1.08114E+03	 3.13057E+01
 1.08483E+03	 3.23193E+01
 1.08851E+03	 1.65908E+01
 1.09220E+03	 8.23730E-01
 1.09588E+03	-2.17632E+01
 1.09956E+03	-1.64019E+01
 1.10324E+03	-1.75586E+00
 1.10692E+03	 1.60420E+01
 1.11059E+03	 1.34341E+01
 1.11426E+03	-6.52832E+00
 1.11793E+03	-2.37935E+01
 1.12159E+03	-2.91943E+01
 1.12526E+03	-2.44219E+01
 1.12892E+03	-5.95557E+00
 1.13258E+03	 8.10107E+00
 1.13623E+03	 1.27900E+01
 1.13989E+03	 1.06792E+01
 1.14354E+03	 1.07944E+01
 1.14719E+03	 6.19824E+00
 1.15084E+03	 4.80078E+00
 1.15448E+03	 1.12017E+01
 1.15812E+03	 1.36743E+01
 1.16176E+03	 1.20718E+01
 1.16540E+03	 5.50781E+00
 1.16903E+03	 6.73340E-01
 1.17267E+03	-1.31055E+00
 1.17630E+03	 6.56445E+00
 1.17992E+03	 1.58760E+01
 1.18355E+03	 1.74644E+01
 1.18717E+03	 1.58145E+01
 1.19079E+03	 1.54727E+01
 1.19441E+03	 1.88359E+01
 1.19803E+03	 1.30063E+01
 1.20164E+03	 9.06836E+00
 1.20525E+03	 2.37354E+00
 1.20886E+03	-1.21113E+01
 1.21246E+03	-2.14565E+01
 1.21607E+03	-2.03716E+01
 1.21967E+03	-7.40820E+00
 1.22327E+03	 7.49414E+00
 1.22687E+03	 2.42339E+01
 1.23046E+03	 3.51177E+01
 1.23405E+03	 2.14766E+01
 1.23764E+03	-2.93457E+00
 1.24123E+03	-2.34370E+01
 1.24482E+03	-2.63198E+01
 1.24840E+03	-8.66797E+00
 1.25198E+03	 1.00869E+01
 1.25556E+03	 2.65151E+01
 1.25913E+03	 2.34678E+01
 1.26271E+03	 1.62026E+01
 1.26628E+03	 2.34277E+00
 1.26985E+03	 4.75586E-01
 1.27341E+03	 1.19556E+01
 1.27698E+03	 1.42803E+01
 1.28054E+03	 9.26270E+00
 1.28410E+03	 1.20332E+01
 1.28766E+03	 6.84814E+00
 1.29121E+03	-1.44775E+00
 1.29476E+03	-5.53125E+00
 1.29831E+03	-6.29492E+00
 1.30186E+03	-1.03062E+01
 1.30541E+03	-1.10405E+01
 1.30895E+03	 1.04785E+00
 1.31249E+03	 5.75928E+00
 1.31603E+03	 7.26465E+00
 1.31957E+03	 1.26050E+01
 1.32310E+03	 8.89258E+00
 1.32663E+03	 2.43115E+00
 1.33016E+03	 6.25391E+00
 1.33369E+03	 2.68066E-01
 1.33722E+03	-1.02764E+01
 1.34074E+03	-1.88252E+01
 1.34426E+03	-1.23384E+01
 1.34778E+03	 2.51416E+00
 1.35129E+03	 2.56982E+01
 1.35481E+03	 4.41670E+01
 1.35832E+03	 3.75752E+01
 1.36183E+03	 1.94595E+01
 1.36534E+03	 1.29727E+01
 1.36884E+03	 1.64360E+01
 1.37234E+03	 1.61870E+01
 1.37584E+03	 1.57671E+01
 1.37934E+03	 1.63418E+01
 1.38284E+03	 1.24854E+01
 1.38633E+03	 1.44360E+01
 1.38982E+03	 1.05430E+01
 1.39331E+03	-2.08057E+00
 1.39680E+03	-1.25264E+01
 1.40028E+03	-1.63945E+01
 1.40376E+03	-1.02402E+01
 1.40724E+03	 1.85986E+00
 1.41072E+03	 1.09048E+01
 1.41420E+03	 1.50220E+01
 1.41767E+03	 1.27925E+01
 1.42114E+03	 1.47520E+01
 1.42461E+03	 1.49663E+01
 1.42808E+03	 1.09170E+01
 1.43154E+03	 1.19395E+01
 1.43500E+03	 2.21709E+01
 1.43846E+03	 2.55454E+01
 1.44192E+03	 2.34570E+01
 1.44537E+03	 9.53564E+00
 1.44883E+03	-5.92773E+00
 1.45228E+03	-1.57134E+01
 1.45573E+03	-9.20117E+00
 1.45917E+03	 1.70059E+01
 1.46262E+03	 3.50337E+01
 1.46606E+03	 3.64741E+01
 1.46950E+03	 2.78501E+01
 1.47294E+03	 1.01006E+01
 1.47637E+03	-1.49468E+01
 1.47981E+03	-3.87559E+01
 1.48324E+03	-2.87544E+01
 1.48667E+03	-6.03516E+00
 1.49009E+03	 1.81543E+01
 1.49352E+03	 3.18306E+01
 1.49694E+03	 3.15718E+01
 1.50036E+03	 1.85332E+01
 1.50378E+03	 4.41895E-01
 1.50720E+03	-3.79492E+00
 1.51061E+03	 3.60400E+00
 1.51402E+03	 3.61475E+00
 1.51743E+03	 1.23813E+01
 1.52084E+03	 1.49912E+01
 1.52424E+03	 1.87739E+01
 1.52764E+03	 1.86890E+01
 1.53105E+03	 1.47412E+01
 1.53444E+03	 1.00000E+01
 1.53784E+03	 1.44214E+01
 1.54123E+03	 1.78682E+01
 1.54463E+03	 1.74844E+01
 1.54802E+03	 1.37510E+01
 1.55140E+03	 1.47813E+01
 1.55479E+03	 1.89595E+01
 1.55817E+03	 1.58257E+01
 1.56155E+03	 1.61167E+01
 1.56493E+03	 1.12476E+01
 1.56831E+03	 2.72900E+00
 1.57168E+03	 4.27246E+00
 1.57506E+03	 6.80664E+00
 1.57843E+03	 1.11147E+01
 1.58180E+03	 1.25620E+01
 1.58516E+03	 1.68164E+00
 1.58853E+03	-2.35352E-01
 1.59189E+03	 3.96289E+00
