X-Axis	bare NPA 10x (CRR) (SG) (Sub BG)
 6.75665E+02	 6.57588E+01
 6.79627E+02	 3.99653E+01
 6.83587E+02	 5.94922E+00
 6.87544E+02	-3.66802E+01
 6.91498E+02	-3.69004E+01
 6.95449E+02	 3.36768E+00
 6.99398E+02	 3.16001E+01
 7.03344E+02	 3.74751E+01
 7.07288E+02	 2.82988E+01
 7.11228E+02	 8.20898E+00
 7.15166E+02	-6.49561E+00
 7.19102E+02	 1.14624E+01
 7.23034E+02	 3.35093E+01
 7.26965E+02	 1.61528E+01
 7.30892E+02	-2.20732E+01
 7.34817E+02	-4.84453E+01
 7.38739E+02	-5.61177E+01
 7.42658E+02	-2.66694E+01
 7.46575E+02	 2.09717E+01
 7.50489E+02	 6.16167E+01
 7.54400E+02	 5.66582E+01
 7.58309E+02	 2.54482E+01
 7.62215E+02	-4.15527E+00
 7.66119E+02	-4.12393E+01
 7.70019E+02	-6.26812E+01
 7.73918E+02	-3.89321E+01
 7.77813E+02	 5.66260E+00
 7.81706E+02	 3.01274E+01
 7.85596E+02	 2.86987E+01
 7.89484E+02	-3.20410E+00
 7.93369E+02	-4.20640E+01
 7.97251E+02	-6.21167E+01
 8.01131E+02	-3.25654E+01
 8.05008E+02	 3.08447E+00
 8.08883E+02	 2.08779E+01
 8.12755E+02	 3.49478E+01
 8.16624E+02	 2.84663E+01
 8.20491E+02	 4.26709E+00
 8.24355E+02	 1.15000E+01
 8.28217E+02	 6.08350E+00
 8.32075E+02	 2.04487E+01
 8.35932E+02	 4.91099E+01
 8.39785E+02	 9.99634E+01
 8.43637E+02	 1.27724E+02
 8.47485E+02	 1.00188E+02
 8.51331E+02	 5.30352E+01
 8.55174E+02	 6.51416E+00
 8.59015E+02	-3.41870E+01
 8.62853E+02	-1.44775E+01
 8.66689E+02	 2.53809E+00
 8.70522E+02	 2.18853E+01
 8.74352E+02	 2.47021E+01
 8.78180E+02	 1.62759E+01
 8.82006E+02	 1.21914E+01
 8.85828E+02	 4.40625E+00
 8.89648E+02	-1.29487E+01
 8.93466E+02	-9.95361E+00
 8.97281E+02	-8.98145E+00
 9.01094E+02	 7.67432E+00
 9.04904E+02	 2.39370E+01
 9.08711E+02	 2.81909E+01
 9.12516E+02	 1.22183E+01
 9.16318E+02	-8.42432E+00
 9.20118E+02	-2.07017E+01
 9.23915E+02	-1.21826E+00
 9.27710E+02	 5.85889E+00
 9.31502E+02	 2.70166E+00
 9.35292E+02	-6.33643E+00
 9.39079E+02	-1.35864E+01
 9.42863E+02	-7.01221E+00
 9.46645E+02	 1.20952E+01
 9.50425E+02	 8.09473E+00
 9.54202E+02	-1.29751E+01
 9.57976E+02	-3.22007E+01
 9.61748E+02	-2.34648E+01
 9.65517E+02	-1.00210E+01
 9.69284E+02	-7.56250E+00
 9.73049E+02	-1.44766E+01
 9.76811E+02	-2.64824E+01
 9.80570E+02	-2.15352E+01
 9.84327E+02	 9.46191E+00
 9.88081E+02	 4.04961E+01
 9.91833E+02	 4.40317E+01
 9.95583E+02	 3.95322E+01
 9.99329E+02	 3.38076E+01
 1.00307E+03	 2.83696E+01
 1.00682E+03	 1.57163E+01
 1.01056E+03	 4.66797E+00
 1.01429E+03	-2.60059E+00
 1.01803E+03	-7.54883E-01
 1.02176E+03	 6.26123E+00
 1.02549E+03	 1.61318E+01
 1.02922E+03	 8.95605E+00
 1.03294E+03	-1.17148E+01
 1.03666E+03	-2.47754E+01
 1.04038E+03	-1.36885E+01
 1.04410E+03	 5.12451E+00
 1.04781E+03	 2.13501E+01
 1.05153E+03	 2.59653E+01
