X-Axis	NPA w/ oil 10x (CRR) (SG) (Sub BG)
 6.59789E+02	 8.36606E+01
 6.63762E+02	 7.60176E+01
 6.67732E+02	 8.28853E+01
 6.71700E+02	 1.15066E+02
 6.75665E+02	 1.50563E+02
 6.79627E+02	 1.61637E+02
 6.83587E+02	 1.36587E+02
 6.87544E+02	 9.86064E+01
 6.91498E+02	 8.10962E+01
 6.95449E+02	 7.89141E+01
 6.99398E+02	 6.48374E+01
 7.03344E+02	 5.23208E+01
 7.07288E+02	 3.52329E+01
 7.11228E+02	 1.76826E+01
 7.15166E+02	 5.57568E+00
 7.19102E+02	 2.21079E+01
 7.23034E+02	 5.39238E+01
 7.26965E+02	 4.47500E+01
 7.30892E+02	 2.82129E+00
 7.34817E+02	-3.33818E+01
 7.38739E+02	-6.61138E+01
 7.42658E+02	-5.59883E+01
 7.46575E+02	-2.76997E+01
 7.50489E+02	 1.02891E+01
 7.54400E+02	 2.80405E+01
 7.58309E+02	 6.49902E+00
 7.62215E+02	-6.65137E+00
 7.66119E+02	-1.88467E+01
 7.70019E+02	-1.70977E+01
 7.73918E+02	 5.09668E+00
 7.77813E+02	 3.01064E+01
 7.81706E+02	 4.63223E+01
 7.85596E+02	 6.09893E+01
 7.89484E+02	 6.81084E+01
 7.93369E+02	 7.12427E+01
 7.97251E+02	 8.57954E+01
 8.01131E+02	 1.21342E+02
 8.05008E+02	 1.56778E+02
 8.08883E+02	 1.79646E+02
 8.12755E+02	 1.92551E+02
 8.16624E+02	 1.93297E+02
 8.20491E+02	 1.91744E+02
 8.24355E+02	 2.62921E+02
 8.28217E+02	 3.64043E+02
 8.32075E+02	 4.44515E+02
 8.35932E+02	 4.96551E+02
 8.39785E+02	 4.97545E+02
 8.43637E+02	 4.26068E+02
 8.47485E+02	 3.10596E+02
 8.51331E+02	 1.89556E+02
 8.55174E+02	 9.68809E+01
 8.59015E+02	 1.99116E+01
 8.62853E+02	 2.64648E-01
 8.66689E+02	 3.39399E+01
 8.70522E+02	 4.34478E+01
 8.74352E+02	 1.44995E+01
 8.78180E+02	-1.57856E+01
 8.82006E+02	-3.99751E+01
 8.85828E+02	-2.31636E+01
 8.89648E+02	 4.90381E+00
 8.93466E+02	 2.14453E+01
 8.97281E+02	 8.18701E+00
 9.01094E+02	-2.42207E+01
 9.04904E+02	-1.83550E+01
 9.08711E+02	 3.19922E+00
 9.12516E+02	 3.37632E+01
 9.16318E+02	 3.93286E+01
 9.20118E+02	 9.12793E+00
 9.23915E+02	-3.23242E+01
 9.27710E+02	-4.76309E+01
 9.31502E+02	-3.40498E+01
 9.35292E+02	-1.26284E+01
 9.39079E+02	 5.17627E+00
 9.42863E+02	 1.42412E+01
 9.46645E+02	 2.19629E+00
 9.50425E+02	 3.71582E-01
 9.54202E+02	-7.78076E+00
 9.57976E+02	 1.41509E+01
 9.61748E+02	 3.34443E+01
 9.65517E+02	 4.20503E+01
 9.69284E+02	 2.20527E+01
 9.73049E+02	-1.99307E+01
 9.76811E+02	-4.50562E+01
 9.80570E+02	-4.26279E+01
 9.84327E+02	-1.54683E+01
 9.88081E+02	 2.92471E+01
 9.91833E+02	 5.51270E+01
 9.95583E+02	 6.14551E+01
 9.99329E+02	 4.48066E+01
 1.00307E+03	 3.29980E+01
 1.00682E+03	 1.11362E+01
 1.01056E+03	-2.59038E+01
 1.01429E+03	-3.96006E+01
 1.01803E+03	-1.60786E+01
 1.02176E+03	 1.74482E+01
 1.02549E+03	 4.42891E+01
 1.02922E+03	 4.69375E+01
 1.03294E+03	 1.16104E+01
 1.03666E+03	-3.01216E+01
 1.04038E+03	-3.02412E+01
 1.04410E+03	 2.72266E+00
 1.04781E+03	 2.34756E+01
 1.05153E+03	 2.56152E+01
 1.05524E+03	 7.80762E+00
 1.05894E+03	-1.11914E+01
 1.06265E+03	-1.99253E+01
 1.06635E+03	-3.18213E+01
 1.07005E+03	-2.97979E+01
 1.07375E+03	-1.63110E+01
 1.07744E+03	 5.31396E+00
 1.08114E+03	 3.72695E+01
 1.08483E+03	 3.87729E+01
 1.08851E+03	 2.89546E+01
 1.09220E+03	 1.84214E+01
 1.09588E+03	 1.57456E+01
 1.09956E+03	 2.18145E+01
 1.10324E+03	 1.25933E+01
 1.10692E+03	 7.70996E-01
 1.11059E+03	-1.76733E+01
 1.11426E+03	-2.73765E+01
 1.11793E+03	-1.66055E+01
 1.12159E+03	-8.25732E+00
 1.12526E+03	-4.44873E+00
 1.12892E+03	-3.41699E+00
 1.13258E+03	 7.09033E+00
 1.13623E+03	 1.33989E+01
 1.13989E+03	 1.84546E+01
 1.14354E+03	 3.00469E+01
 1.14719E+03	 4.55508E+01
 1.15084E+03	 7.12012E+01
 1.15448E+03	 8.80303E+01
 1.15812E+03	 9.14248E+01
 1.16176E+03	 7.36621E+01
 1.16540E+03	 3.29380E+01
 1.16903E+03	 1.11597E+01
 1.17267E+03	 7.59863E+00
 1.17630E+03	 2.71094E+01
 1.17992E+03	 2.46118E+01
 1.18355E+03	 1.03750E+01
 1.18717E+03	 2.37939E+00
 1.19079E+03	-6.56104E+00
 1.19441E+03	-7.11914E+00
 1.19803E+03	 1.01284E+01
 1.20164E+03	 1.36929E+01
 1.20525E+03	-5.44727E+00
 1.20886E+03	-3.16235E+01
 1.21246E+03	-3.78848E+01
 1.21607E+03	-2.29922E+01
 1.21967E+03	-1.44937E+01
 1.22327E+03	-2.80811E+00
 1.22687E+03	 2.22568E+01
 1.23046E+03	 2.69858E+01
 1.23405E+03	 3.55601E+01
 1.23764E+03	 3.79824E+01
 1.24123E+03	 3.20151E+01
 1.24482E+03	 3.02085E+01
 1.24840E+03	 2.47236E+01
 1.25198E+03	 5.02412E+01
 1.25556E+03	 9.41333E+01
 1.25913E+03	 1.33648E+02
 1.26271E+03	 1.58140E+02
 1.26628E+03	 1.46717E+02
 1.26985E+03	 1.17789E+02
 1.27341E+03	 8.19839E+01
 1.27698E+03	 4.66118E+01
 1.28054E+03	 4.65010E+01
 1.28410E+03	 6.33750E+01
 1.28766E+03	 7.52822E+01
 1.29121E+03	 5.76348E+01
 1.29476E+03	 2.51001E+01
 1.29831E+03	-1.53799E+01
 1.30186E+03	-3.86187E+01
 1.30541E+03	-3.50977E+01
 1.30895E+03	 7.56885E+00
 1.31249E+03	 4.54619E+01
 1.31603E+03	 6.17402E+01
 1.31957E+03	 5.78516E+01
 1.32310E+03	 4.54414E+01
 1.32663E+03	 3.98755E+01
 1.33016E+03	 3.56777E+01
 1.33369E+03	 1.94824E+01
 1.33722E+03	-1.18833E+01
 1.34074E+03	-3.11118E+01
 1.34426E+03	-3.36587E+01
 1.34778E+03	-1.10674E+01
 1.35129E+03	 2.21709E+01
 1.35481E+03	 4.61689E+01
 1.35832E+03	 4.69204E+01
 1.36183E+03	 3.27349E+01
 1.36534E+03	 1.65415E+01
 1.36884E+03	 1.47227E+01
 1.37234E+03	 9.55566E-01
 1.37584E+03	-5.43848E+00
