X-Axis	NPA w/ HMB-1 20x (CRR) (SG) (Sub BG)
 6.19908E+02	 1.14443E+01
 6.23908E+02	 1.99150E+01
 6.27906E+02	 5.10068E+01
 6.31901E+02	 8.59419E+01
 6.35893E+02	 9.19751E+01
 6.39882E+02	 6.89380E+01
 6.43869E+02	 4.92690E+01
 6.47853E+02	 3.08516E+01
 6.51834E+02	 2.26470E+01
 6.55813E+02	 2.72407E+01
 6.59789E+02	 4.93242E+01
 6.63762E+02	 6.19531E+01
 6.67732E+02	 5.88491E+01
 6.71700E+02	 5.29697E+01
 6.75665E+02	 4.25806E+01
 6.79627E+02	 3.98130E+01
 6.83587E+02	 4.76191E+01
 6.87544E+02	 5.63276E+01
 6.91498E+02	 6.87197E+01
 6.95449E+02	 5.83389E+01
 6.99398E+02	 4.14092E+01
 7.03344E+02	 2.10938E+01
 7.07288E+02	 1.00542E+01
 7.11228E+02	 7.22754E+00
 7.15166E+02	 3.11733E+01
 7.19102E+02	 6.58267E+01
 7.23034E+02	 7.15269E+01
 7.26965E+02	 4.56187E+01
 7.30892E+02	-7.07861E+00
 7.34817E+02	-5.11470E+01
 7.38739E+02	-6.53408E+01
 7.42658E+02	-3.43647E+01
 7.46575E+02	 1.98994E+01
 7.50489E+02	 5.23936E+01
 7.54400E+02	 4.78984E+01
 7.58309E+02	 2.49448E+01
 7.62215E+02	-7.21777E+00
 7.66119E+02	-1.65737E+01
 7.70019E+02	-2.29492E+00
 7.73918E+02	 1.95513E+01
 7.77813E+02	 4.04160E+01
 7.81706E+02	 5.73906E+01
 7.85596E+02	 4.73081E+01
 7.89484E+02	 1.93291E+01
 7.93369E+02	-2.70020E+00
 7.97251E+02	 8.91211E+00
 8.01131E+02	 3.44424E+01
 8.05008E+02	 5.43540E+01
 8.08883E+02	 7.78833E+01
 8.12755E+02	 8.23062E+01
 8.16624E+02	 5.84702E+01
 8.20491E+02	 4.76445E+01
 8.24355E+02	 7.95400E+01
 8.28217E+02	 1.06419E+02
 8.32075E+02	 1.00771E+02
 8.35932E+02	 9.48862E+01
 8.39785E+02	 1.22563E+02
 8.43637E+02	 1.42161E+02
 8.47485E+02	 1.15063E+02
 8.51331E+02	 9.21899E+01
 8.55174E+02	 6.35498E+01
 8.59015E+02	 1.68872E+01
 8.62853E+02	-1.83213E+01
 8.66689E+02	-1.66182E+01
 8.70522E+02	-4.17334E+00
 8.74352E+02	-2.87612E+01
 8.78180E+02	-3.92974E+01
 8.82006E+02	-3.00400E+01
 8.85828E+02	-8.62012E+00
 8.89648E+02	 2.69390E+01
 8.93466E+02	 5.91216E+01
 8.97281E+02	 7.23726E+01
 9.01094E+02	 3.68657E+01
 9.04904E+02	 6.66504E-01
 9.08711E+02	 1.87793E+00
 9.12516E+02	 1.74521E+01
 9.16318E+02	 4.33970E+01
 9.20118E+02	 3.58223E+01
 9.23915E+02	 1.03555E+01
 9.27710E+02	-1.48247E+01
 9.31502E+02	-2.32437E+01
 9.35292E+02	-7.56299E+00
 9.39079E+02	 1.34307E+01
 9.42863E+02	 2.57207E+01
 9.46645E+02	 2.73457E+01
 9.50425E+02	-2.01611E+00
 9.54202E+02	-3.62056E+01
 9.57976E+02	-4.69536E+01
 9.61748E+02	-1.86548E+01
 9.65517E+02	 2.27041E+01
