X-Axis	dried HMB-1 (CRR) (SG) (Sub BG)
 7.19102E+02	 5.27129E+01
 7.23034E+02	 4.33643E+01
 7.26965E+02	 1.06934E-01
 7.30892E+02	-4.77588E+01
 7.34817E+02	-8.22222E+01
 7.38739E+02	-9.93740E+01
 7.42658E+02	-5.98491E+01
 7.46575E+02	 7.23486E+00
 7.50489E+02	 6.88564E+01
 7.54400E+02	 8.12876E+01
 7.58309E+02	 4.18623E+01
 7.62215E+02	-1.13921E+01
 7.66119E+02	-5.77485E+01
 7.70019E+02	-8.43711E+01
 7.73918E+02	-4.80806E+01
 7.77813E+02	 1.76973E+01
 7.81706E+02	 7.95415E+01
 7.85596E+02	 9.28340E+01
 7.89484E+02	 7.23657E+01
 7.93369E+02	 3.90249E+01
 7.97251E+02	 1.71143E+01
 8.01131E+02	 6.11724E+01
 8.05008E+02	 1.34329E+02
 8.08883E+02	 1.91488E+02
 8.12755E+02	 2.20395E+02
 8.16624E+02	 1.72173E+02
 8.20491E+02	 1.04927E+02
 8.24355E+02	 9.71250E+01
 8.28217E+02	 1.11396E+02
 8.32075E+02	 1.45538E+02
 8.35932E+02	 1.88914E+02
 8.39785E+02	 2.64465E+02
 8.43637E+02	 2.94318E+02
 8.47485E+02	 2.86624E+02
 8.51331E+02	 2.47041E+02
 8.55174E+02	 1.80463E+02
 8.59015E+02	 1.04851E+02
 8.62853E+02	 7.43330E+01
 8.66689E+02	 9.37739E+01
 8.70522E+02	 1.00814E+02
 8.74352E+02	 4.13013E+01
 8.78180E+02	-3.07358E+01
 8.82006E+02	-8.05000E+01
 8.85828E+02	-7.00713E+01
 8.89648E+02	-3.89082E+01
 8.93466E+02	-1.03027E-01
 8.97281E+02	 3.10942E+01
 9.01094E+02	 7.58838E+00
 9.04904E+02	-4.58203E+00
 9.08711E+02	 2.63340E+01
 9.12516E+02	 6.17095E+01
 9.16318E+02	 6.18164E+01
 9.20118E+02	 4.32681E+01
 9.23915E+02	 2.33770E+01
 9.27710E+02	-2.08838E+00
 9.31502E+02	-1.09604E+01
 9.35292E+02	 5.75732E+00
 9.39079E+02	 2.52720E+01
 9.42863E+02	 4.93945E+01
 9.46645E+02	 6.34717E+01
 9.50425E+02	 4.99673E+01
 9.54202E+02	-7.00977E+00
 9.57976E+02	-5.65273E+01
 9.61748E+02	-5.64814E+01
 9.65517E+02	-2.70996E+01
 9.69284E+02	-1.13159E+01
 9.73049E+02	-1.39380E+01
 9.76811E+02	-3.64624E+01
 9.80570E+02	-6.37280E+01
 9.84327E+02	-2.54355E+01
 9.88081E+02	 6.43198E+01
 9.91833E+02	 1.56398E+02
 9.95583E+02	 2.09774E+02
 9.99329E+02	 2.30127E+02
 1.00307E+03	 2.29425E+02
 1.00682E+03	 1.75413E+02
 1.01056E+03	 1.03809E+02
 1.01429E+03	 5.85059E+01
 1.01803E+03	 3.64199E+01
 1.02176E+03	 4.04868E+01
 1.02549E+03	 5.25903E+01
 1.02922E+03	 4.02549E+01
 1.03294E+03	-3.41846E+00
 1.03666E+03	-3.75972E+01
 1.04038E+03	-2.95918E+01
 1.04410E+03	 1.97412E+00
 1.04781E+03	 1.84526E+01
 1.05153E+03	 2.23271E+01
 1.05524E+03	 4.41162E+00
 1.05894E+03	-2.36348E+01
 1.06265E+03	-1.98921E+01
 1.06635E+03	-2.07056E+01
 1.07005E+03	-1.97764E+01
 1.07375E+03	-2.47217E+00
 1.07744E+03	 2.07246E+01
 1.08114E+03	 3.81699E+01
 1.08483E+03	 1.33213E+01
 1.08851E+03	-2.14814E+01
 1.09220E+03	-5.31274E+01
 1.09588E+03	-5.96514E+01
 1.09956E+03	-3.59609E+01
