X-Axis	NPA w/ HMB-1 pos2 (CRR) (SG) (Sub BG)
 1.50720E+03	 6.97461E+00
 1.51061E+03	 7.03125E-02
 1.51402E+03	-1.19443E+01
 1.51743E+03	-1.51714E+01
 1.52084E+03	-1.13130E+01
 1.52424E+03	-1.04697E+01
 1.52764E+03	-8.48096E+00
 1.53105E+03	 3.47656E-01
 1.53444E+03	 6.48486E+00
 1.53784E+03	 1.96226E+01
 1.54123E+03	 3.41255E+01
 1.54463E+03	 4.20205E+01
 1.54802E+03	 3.79121E+01
 1.55140E+03	 2.43037E+01
 1.55479E+03	 2.10435E+01
 1.55817E+03	 2.35098E+01
 1.56155E+03	 3.05718E+01
 1.56493E+03	 3.37471E+01
 1.56831E+03	 3.06338E+01
 1.57168E+03	 2.85581E+01
 1.57506E+03	 2.32461E+01
 1.57843E+03	 3.00322E+01
 1.58180E+03	 4.24126E+01
 1.58516E+03	 4.29131E+01
 1.58853E+03	 3.86479E+01
 1.59189E+03	 3.39014E+01
 1.59525E+03	 3.01616E+01
 1.59861E+03	 2.61069E+01
 1.60196E+03	 2.01865E+01
 1.60531E+03	 1.29375E+01
 1.60867E+03	 5.87402E-01
 1.61202E+03	-2.39600E+00
 1.61536E+03	 7.30273E+00
 1.61871E+03	 9.94092E+00
 1.62205E+03	 8.01221E+00
 1.62539E+03	 3.22461E+00
 1.62873E+03	-7.52783E+00
 1.63207E+03	-9.78320E+00
 1.63540E+03	-6.00098E-01
 1.63873E+03	 5.35352E+00
 1.64206E+03	 7.97119E+00
 1.64539E+03	 3.77588E+00
 1.64872E+03	-9.67285E-01
 1.65204E+03	-4.43408E+00
 1.65536E+03	 3.40820E+00
 1.65868E+03	 9.88037E+00
 1.66200E+03	 8.89600E+00
 1.66532E+03	 3.71094E-02
 1.66863E+03	-3.79492E+00
 1.67194E+03	-3.62598E+00
 1.67525E+03	 4.94141E-01
 1.67856E+03	 7.13672E+00
 1.68186E+03	 1.87061E+00
 1.68516E+03	-2.72119E+00
 1.68847E+03	-5.68701E+00
 1.69176E+03	-5.89941E+00
 1.69506E+03	-5.65820E+00
 1.69836E+03	 5.14648E-01
 1.70165E+03	 7.51123E+00
 1.70494E+03	 9.87598E+00
 1.70823E+03	 1.04590E+01
 1.71151E+03	 5.16260E+00
 1.71480E+03	-4.85693E+00
 1.71808E+03	-3.83838E+00
 1.72136E+03	-4.56494E+00
 1.72464E+03	 1.20752E+00
 1.72792E+03	 5.46387E+00
 1.73119E+03	 4.09229E+00
 1.73446E+03	 5.21826E+00
 1.73773E+03	 1.48633E+00
 1.74100E+03	 1.83105E+00
 1.74427E+03	-2.31299E+00
 1.74753E+03	-1.00996E+01
 1.75079E+03	-7.51611E+00
 1.75405E+03	-5.27197E+00
 1.75731E+03	 1.44922E+00
 1.76057E+03	 1.26514E+01
 1.76382E+03	 2.11841E+01
 1.76707E+03	 2.48408E+01
 1.77032E+03	 1.64927E+01
 1.77357E+03	 7.46826E+00
 1.77681E+03	 3.44043E+00
 1.78006E+03	-1.06982E+00
 1.78330E+03	 4.89746E+00
 1.78654E+03	 3.22314E+00
 1.78978E+03	-4.00195E+00
 1.79301E+03	-7.60449E+00
 1.79625E+03	-7.75488E+00
 1.79948E+03	-4.81006E+00
 1.80271E+03	-8.10547E-02
 1.80593E+03	 6.70850E+00
 1.80916E+03	 1.35532E+01
 1.81238E+03	 1.23096E+01
 1.81560E+03	 1.40757E+01
 1.81882E+03	 1.05142E+01
 1.82204E+03	 9.16016E-01
 1.82526E+03	-1.61914E+00
 1.82847E+03	-1.72803E+00
 1.83168E+03	-3.10498E+00
 1.83489E+03	-2.88232E+00
 1.83810E+03	 1.81104E+00
 1.84130E+03	 8.11230E+00
 1.84451E+03	 1.04873E+01
 1.84771E+03	 8.58838E+00
 1.85091E+03	 5.37061E+00
 1.85411E+03	 2.69043E-01
 1.85730E+03	-7.78809E-01
 1.86049E+03	 6.22559E-01
 1.86369E+03	 9.62646E+00
 1.86688E+03	 1.53516E+01
